관리번호,급경사지명,소재지,비고(Note),region,경사도(Slope),곡률(Curvature),거칠기(Roughness),사면향(Aspect),aspect_sin,aspect_cos,S1_transfer,S1_used,Susceptibility,RiskScore,risk_grade5_by_region
63,강원 정선 고한 고한 N14지구,고한읍 고한리 5-26 잡,추정값 (시뮬레이션),정선_v2(라벨없음),11.14,-0.05,89.09,232.34,-0.7916502665290899,-0.6109745129744947,0.5146775492816777,0.45065300278363,0.360522402226904,36.05224,3
64,강원 정선 고한 고한 N7지구,고한읍 고한리 5-26 잡,추정값 (시뮬레이션),정선_v2(라벨없음),20.0,0.3,83.62,31.29,0.5193699727684524,0.8545494903084883,0.7353295496896014,0.6914780880122106,0.5531824704097684,55.318247,5
65,강원 정선 고한 고한 N16지구,고한읍 고한리 5-26 잡,추정값 (시뮬레이션),정선_v2(라벨없음),23.75,0.7,101.78,9.66,0.16780118772170638,0.9858208566464723,0.7302554586617589,0.6857562499158736,0.5486049999326988,54.8605,5
66,강원 정선 고한 고한 N15지구,고한읍 고한리 5-26 잡,추정값 (시뮬레이션),정선_v2(라벨없음),3.77,0.42,63.59,69.64,0.9375251102584435,0.34791761616062683,0.6876620413059109,0.6380431677205893,0.5104345341764714,51.043453,4
67,막골3지구,고한읍 고한리 50-84 공,추정값 (시뮬레이션),정선_v2(라벨없음),8.9,0.15,102.59,230.37,-0.7701793827501824,-0.637827342144054,0.5527008507199261,0.49089449252270706,0.3927155940181657,39.271559,4
68,대원A진입로지구,고한읍 고한리 산260-9임,추정값 (시뮬레이션),정선_v2(라벨없음),32.09,0.39,113.41,208.5,-0.4771587602596084,-0.8788171126619654,0.6256072891735956,0.5695897432438921,0.4556717945951137,45.567179,4
69,양지말지구,고한읍 고한리 산260-9임,추정값 (시뮬레이션),정선_v2(라벨없음),24.18,-0.7,68.22,286.23,-0.9601474746471127,0.27949387637079276,0.2572568097051807,0.19608314115006883,0.15686651292005507,15.686651,2
70,막골2지구,고한읍 고한리 산307-2임,추정값 (시뮬레이션),정선_v2(라벨없음),19.91,-0.85,142.96,145.02,0.5732904634076326,-0.8193522103258536,0.5134222069000504,0.44933430744153713,0.3594674459532297,35.946745,3
71,진밭골지구,고한읍 고한리 산223임,추정값 (시뮬레이션),정선_v2(라벨없음),10.72,-0.15,102.07,263.04,-0.992630990608929,-0.1211763858296503,0.287942048493928,0.22447403230251106,0.17957922584200886,17.957923,2
72,태백 82km242(우),고한읍 고한리 산225-1철,추정값 (시뮬레이션),정선_v2(라벨없음),24.94,-0.62,101.93,284.67,-0.9674004875279185,0.253251449612328,0.1214817659168709,0.07969174115833315,0.06375339292666653,6.375339,1
73,태백 79km590(중),고한읍 고한리 산305-2철,추정값 (시뮬레이션),정선_v2(라벨없음),9.72,-0.24,99.71,120.67,0.8601194733646793,-0.5100926303514555,0.640846452679651,0.5862795983006496,0.4690236786405197,46.902368,4
74,강원-태백선76-충,고한읍 고한리 산216-3철,추정값 (시뮬레이션),정선_v2(라벨없음),29.64,-0.37,48.45,131.05,0.7541367734161842,-0.6567173874517309,0.3764192984310289,0.3096037819261669,0.24768302554093352,24.768303,2
75,강원 정선 고한 고한 N10지구,고한읍 고한리 427체,추정값 (시뮬레이션),정선_v2(라벨없음),21.44,0.2,77.15,204.93,-0.42151068276640896,-0.9068234361295454,0.29224182082585903,0.22850243800088904,0.18280195040071123,18.280195,2
76,강원-태백선72-충,고한읍 고한리 산1-2철,추정값 (시뮬레이션),정선_v2(라벨없음),34.2,0.13,15.48,53.96,0.8086064457378666,0.5883499094171551,0.6186765714370671,0.5620259962534199,0.44962079700273594,44.96208,4
77,태백 77km365(중),고한읍 고한리 산1-2철,추정값 (시뮬레이션),정선_v2(라벨없음),21.15,0.47,76.54,283.71,-0.9715077691458853,0.23700770976739385,0.03297695899296548,0.0166668192301242,0.013333455384099361,1.333346,1
78,태백 78km065(우),고한읍 고한리 산1-3철,추정값 (시뮬레이션),정선_v2(라벨없음),31.83,-0.56,83.95,180.05,-0.0008726645152354168,-0.9999996192282494,0.45656840705873825,0.39030761794591406,0.3122460943567313,31.224609,3
79,강원-태백선73-충,고한읍 고한리 산1-6철,추정값 (시뮬레이션),정선_v2(라벨없음),28.15,0.32,116.81,19.44,0.3328195445229867,0.9429905358928644,0.4347422243136552,0.36802573411669903,0.29442058729335924,29.442059,3
80,태백 79km370(중),고한읍 고한리 산1-6철,추정값 (시뮬레이션),정선_v2(라벨없음),16.6,-0.95,182.26,257.27,-0.9754192990235331,-0.2203569628862208,0.2481040387614716,0.18774163719201226,0.1501933097536098,15.019331,2
81,강원-태백선74-충,고한읍 고한리 산1-18철,추정값 (시뮬레이션),정선_v2(라벨없음),24.95,-0.73,72.38,71.36,0.9475455034571837,0.31962089868791793,0.4412823663543778,0.3746794620892259,0.29974356967138077,29.974357,3
82,중앙지구,고한읍 고한리 산1-213임,추정값 (시뮬레이션),정선_v2(라벨없음),25.02,-0.35,110.35,235.48,-0.8239284253426293,-0.5666938767204172,0.0656388128866256,0.03807087527072035,0.030456700216576284,3.04567,1
83,삼봉2지구,고한읍 고한리 산1-210임,추정값 (시뮬레이션),정선_v2(라벨없음),20.77,0.39,158.14,194.26,-0.24632245198486993,-0.9691879330904618,0.5659107433810778,0.5050071494373788,0.40400571954990305,40.400572,4
84,태백 82km680(중),고한읍 고한리 산213-5철,추정값 (시뮬레이션),정선_v2(라벨없음),23.79,-0.83,117.15,44.94,0.70636591311755,0.7078468738262603,0.3477312055040092,0.28150907475964154,0.22520725980771325,22.520726,2
85,강원 정선 고한 고한 N13지구,고한읍 고한리 산2-251도,추정값 (시뮬레이션),정선_v2(라벨없음),16.16,-0.32,116.43,39.65,0.6380961466011305,0.7699566920890997,0.1517984636031106,0.10411680945179065,0.08329344756143253,8.329345,1
86,강원 정선 고한 고한 N6지구,고한읍 고한리 230전,추정값 (시뮬레이션),정선_v2(라벨없음),22.77,-1.05,79.66,175.96,0.07045288777538664,-0.9975151079578237,0.49194515791637455,0.42687431914949037,0.3414994553195923,34.149946,3
87,주공지구,고한읍 고한리 63-40 임,추정값 (시뮬레이션),정선_v2(라벨없음),34.24,0.34,119.68,61.66,0.8801461629613543,0.4747027826170867,0.7353244256914906,0.6914723059027618,0.5531778447222094,55.317784,5
88,태백 77km705(우),고한읍 고한리 274천,추정값 (시뮬레이션),정선_v2(라벨없음),1.99,1.11,44.08,348.53,-0.19885481973619873,0.9800289590964565,0.808778443109844,0.7751673654892336,0.6201338923913869,62.013389,5
89,휴관광호텔지구,고한읍 고한리 산88임,추정값 (시뮬레이션),정선_v2(라벨없음),32.23,0.51,102.32,220.76,-0.6528919625527045,-0.757451044777204,0.6865695009609729,0.6368269125333605,0.5094615300266885,50.946153,4
90,고토일지구,고한읍 고한리 산85-1도,추정값 (시뮬레이션),정선_v2(라벨없음),5.32,-0.39,54.99,34.2,0.5620833778521306,0.8270805742745618,0.6321349571673253,0.5767289723991988,0.4613831779193591,46.138318,4
91,강원 정선 고한 고한 N1지구,고한읍 고한리 산85임,추정값 (시뮬레이션),정선_v2(라벨없음),13.98,0.51,45.14,217.5,-0.6087614290087207,-0.7933533402912352,0.6666602749109747,0.614731534995076,0.49178522799606084,49.178523,4
92,강원 정선 고한 고한 N5지구,고한읍 고한리 산70-1임,추정값 (시뮬레이션),정선_v2(라벨없음),20.22,-0.29,56.05,57.23,0.8408501260153088,0.541268016402262,0.41560621910686496,0.34867310178089106,0.27893848142471284,27.893848,3
93,형제카센터지구,고한읍 고한리 373대,추정값 (시뮬레이션),정선_v2(라벨없음),20.51,1.34,78.6,60.5,0.8703556959398997,0.4924235601034671,0.5124743723139503,0.4483390658770721,0.35867125270165773,35.867125,3
94,고한1지구(지방도414),고한읍 고한리 산214임,추정값 (시뮬레이션),정선_v2(라벨없음),32.09,-0.37,44.07,197.16,-0.29504106792828116,-0.9554845724739565,0.2526598749961202,0.19188610716751892,0.15350888573401514,15.350889,2
